move_number,move_san,fen,main_evaluation,main_evaluation_flipped,isolated,isolated_flipped,opposed,opposed_flipped,rank,rank_flipped,file,file_flipped,phalanx,phalanx_flipped,supported,supported_flipped,backward,backward_flipped,doubled,doubled_flipped,connected,connected_flipped,middle_game_evaluation,middle_game_evaluation_flipped,end_game_evaluation,end_game_evaluation_flipped,scale_factor,scale_factor_flipped,phase,phase_flipped,imbalance,imbalance_flipped,bishop_count,bishop_count_flipped,bishop_pair,bishop_pair_flipped,pinned_direction,pinned_direction_flipped,mobility,mobility_flipped,mobility_area,mobility_area_flipped,mobility_bonus,mobility_bonus_flipped,knight_attack,knight_attack_flipped,bishop_xray_attack,bishop_xray_attack_flipped,rook_xray_attack,rook_xray_attack_flipped,queen_attack,queen_attack_flipped,outpost,outpost_flipped,outpost_square,outpost_square_flipped,reachable_outpost,reachable_outpost_flipped,minor_behind_pawn,minor_behind_pawn_flipped,bishop_pawns,bishop_pawns_flipped,rook_on_file,rook_on_file_flipped,trapped_rook,trapped_rook_flipped,weak_queen,weak_queen_flipped,space_area,space_area_flipped,pawn_attack,pawn_attack_flipped,king_attack,king_attack_flipped,attack,attack_flipped,non_pawn_material,non_pawn_material_flipped,safe_pawn,safe_pawn_flipped,threat_safe_pawn,threat_safe_pawn_flipped,weak_enemies,weak_enemies_flipped,minor_threat,minor_threat_flipped,rook_threat,rook_threat_flipped,hanging,hanging_flipped,king_threat,king_threat_flipped,pawn_push_threat,pawn_push_threat_flipped,candidate_passed,candidate_passed_flipped,king_proximity,king_proximity_flipped,passed_block,passed_block_flipped,passed_file,passed_file_flipped,passed_rank,passed_rank_flipped,pawnless_flank,pawnless_flank_flipped,strength_square,strength_square_flipped,storm_square,storm_square_flipped,shelter_strength,shelter_strength_flipped,shelter_storm,shelter_storm_flipped,king_pawn_distance,king_pawn_distance_flipped,check_attack,check_attack_flipped,safe_check,safe_check_flipped,queen_count,queen_count_flipped,king_attackers_count,king_attackers_count_flipped,king_attackers_weight,king_attackers_weight_flipped,king_attacks,king_attacks_flipped,weak_bonus,weak_bonus_flipped,weak_squares,weak_squares_flipped,winnable,winnable_flipped,unsafe_checks,unsafe_checks_flipped,tempo,tempo_flipped,pawn_count,pawn_count_flipped,connected_bonus,connected_bonus_flipped,mobility_mg,mobility_mg_flipped,mobility_eg,mobility_eg_flipped,piece_value_bonus,piece_value_bonus_flipped,psqt_bonus,psqt_bonus_flipped,piece_value_mg,piece_value_mg_flipped,piece_value_eg,piece_value_eg_flipped,psqt_mg,psqt_mg_flipped,psqt_eg,psqt_eg_flipped,king_protector,king_protector_flipped,knight_count,knight_count_flipped,imbalance_total,imbalance_total_flipped,weak_unopposed_pawn,weak_unopposed_pawn_flipped,rook_count,rook_count_flipped,opposite_bishops,opposite_bishops_flipped,king_distance,king_distance_flipped,long_diagonal_bishop,long_diagonal_bishop_flipped,queen_attack_diagonal,queen_attack_diagonal_flipped,pinned,pinned_flipped,king_ring,king_ring_flipped,slider_on_queen,slider_on_queen_flipped,knight_on_queen,knight_on_queen_flipped,outpost_total,outpost_total_flipped,restricted,restricted_flipped,knight_defender,knight_defender_flipped,endgame_shelter,endgame_shelter_flipped,space,space_flipped,weak_lever,weak_lever_flipped,blockers_for_king,blockers_for_king_flipped,rook_on_queen_file,rook_on_queen_file_flipped,winnable_total_mg,winnable_total_mg_flipped,winnable_total_eg,winnable_total_eg_flipped,flank_attack,flank_attack_flipped,flank_defense,flank_defense_flipped,king_danger,king_danger_flipped,king_mg,king_mg_flipped,king_eg,king_eg_flipped,weak_queen_protection,weak_queen_protection_flipped,threats_mg,threats_mg_flipped,threats_eg,threats_eg_flipped,passed_leverable,passed_leverable_flipped,passed_mg,passed_mg_flipped,passed_eg,passed_eg_flipped,piece_count,piece_count_flipped,bishop_xray_pawns,bishop_xray_pawns_flipped,rook_on_king_ring,rook_on_king_ring_flipped,bishop_on_king_ring,bishop_on_king_ring_flipped,queen_infiltration,queen_infiltration_flipped,pieces_mg,pieces_mg_flipped,pieces_eg,pieces_eg_flipped,blocked,blocked_flipped,pawn_attacks_span,pawn_attacks_span_flipped,doubled_isolated,doubled_isolated_flipped,pawns_mg,pawns_mg_flipped,pawns_eg,pawns_eg_flipped,rule50,rule50_flipped
1,d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,152,-152,0,0,8,8,288,288,288,288,7,8,0,0,0,0,0,0,7,8,180,-180,200,-200,64,64,128,128,13216,13216,2,2,1438,1438,0,0,15,7,47,44,-46,-172,6,6,8,4,4,4,7,5,0,0,0,0,0,0,4,4,8,8,0,0,1,1,0,0,10,6,14,14,5,5,44,38,8302,8302,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-832,-1144,1400,716,222,222,56,56,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,27,21,40,40,0,0,-28,28,8,8,98,112,-46,-172,-76,-244,9294,9294,13,12,9294,9294,10628,10628,13,12,-185,-181,8,8,2,2,0,0,0,0,2,2,0,0,254,254,0,0,2,2,0,0,6,7,0,0,0,0,0,0,0,1,2,2,5,5,105,63,0,0,0,0,0,0,0,0,40,-40,4,0,12,16,0,0,-134,-166,-11,-11,0,0,0,7,0,7,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,-65,-65,-129,-129,0,0,48,48,0,0,98,112,-21,-24,0,0
2,d5,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,28,-28,0,0,8,8,288,288,288,288,7,7,0,0,0,0,0,0,7,7,0,0,0,0,64,64,128,128,13216,13216,2,2,1438,1438,0,0,14,14,44,44,-75,-75,6,6,8,8,4,4,7,7,0,0,0,0,0,0,4,4,16,16,0,0,1,1,0,0,8,8,14,14,5,5,44,44,8302,8302,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1144,-1144,1184,1184,222,222,56,56,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,26,40,40,0,0,28,-28,8,8,98,98,-75,-75,-97,-97,9294,9294,13,13,9294,9294,10628,10628,13,13,-185,-185,8,8,2,2,0,0,0,0,2,2,0,0,254,254,0,0,2,2,0,0,7,7,0,0,0,0,0,0,1,1,2,2,5,5,112,112,0,0,0,0,0,0,0,0,0,0,4,4,16,16,0,0,-134,-134,-11,-11,0,0,7,7,7,7,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,-89,-89,-185,-185,0,0,48,48,0,0,98,98,-21,-21,0,0
3,c4,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,95,-95,0,0,8,8,288,288,288,288,8,7,0,0,0,0,0,0,8,7,123,-123,80,-80,64,64,128,128,13216,13216,2,2,1438,1438,0,0,17,14,45,43,-43,-75,6,6,8,8,4,4,9,7,0,0,0,0,0,0,3,4,16,16,0,0,1,1,0,0,11,8,14,14,5,5,46,44,8302,8302,7,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988,-1824,1704,1184,222,222,56,56,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,29,25,40,40,0,0,-28,28,8,8,132,98,-43,-75,-57,-97,9294,9294,9,13,9294,9294,10628,10628,9,13,-203,-185,8,8,2,2,0,0,0,0,2,2,0,0,254,254,0,0,4,2,0,0,7,8,0,0,0,0,0,0,2,1,2,2,5,5,154,112,0,0,0,0,0,0,0,0,40,-40,5,4,16,17,562,0,-49,-134,24,-11,1,0,28,76,14,43,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,-107,-89,-188,-185,0,0,48,48,0,0,132,98,-6,-21,0,0
4,dxc4,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,-121,121,0,0,6,6,288,288,288,288,6,7,0,0,0,0,0,0,6,7,-149,149,-274,274,64,64,128,128,11832,12782,2,2,1438,1438,0,0,16,16,46,45,-43,-43,6,6,8,8,4,4,9,8,0,0,0,0,0,0,3,4,7,8,0,0,1,1,0,0,9,8,12,14,5,5,44,45,8302,8302,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-484,-1824,1624,1778,222,222,56,56,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,25,25,28,28,0,0,28,-28,7,8,84,105,-43,-43,-61,-61,9170,9294,3,-20,9170,9294,10422,10628,3,-20,-195,-177,8,8,2,2,-59,59,0,0,2,2,0,0,254,254,0,0,4,2,0,0,7,8,0,0,0,0,0,0,2,2,2,2,5,5,81,84,0,0,0,0,0,0,0,0,-28,28,4,4,15,16,531,0,-66,-134,22,-11,0,1,14,28,14,14,0,0,0,0,0,0,15,16,1,0,0,0,0,0,0,0,-84,-65,-130,-129,0,0,48,48,0,0,84,105,-18,-23,0,0
5,Nf3,rnbqkbnr/ppp1pppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-6,6,0,0,6,6,288,288,288,288,6,7,0,0,0,0,0,0,6,7,21,-21,-170,170,64,64,128,128,11832,12782,2,2,1438,1438,0,0,21,16,46,45,13,-43,11,6,8,8,5,4,9,8,0,0,0,0,0,0,2,4,14,8,0,0,1,1,0,0,9,8,12,14,5,5,50,45,8302,8302,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-484,-1824,1624,1778,222,222,56,56,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,26,24,28,28,0,0,-28,28,7,8,84,105,13,-43,27,-61,9170,9294,101,-20,9170,9294,10422,10628,101,-20,-138,-177,8,8,2,2,-59,59,0,0,2,2,0,0,254,254,0,0,4,2,0,0,7,8,0,0,0,0,0,0,2,1,1,2,5,5,81,84,0,0,0,0,0,0,0,0,-28,28,6,4,15,16,594,0,-32,-134,26,-11,0,0,14,7,14,7,0,0,0,0,0,0,15,16,1,0,0,0,0,0,0,0,-123,-65,-182,-129,0,0,48,48,0,0,84,105,-18,-23,1,1
6,Nf6,rnbqkb1r/ppp1pppp/5n2/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,-94,94,0,0,6,6,288,288,288,288,6,7,0,0,0,0,0,0,6,7,-124,124,-260,260,64,64,128,128,11832,12782,2,2,1438,1438,0,0,21,21,46,45,13,13,11,11,8,8,5,5,9,8,0,0,0,0,0,0,2,3,14,16,0,0,1,1,0,0,9,8,12,14,5,5,50,51,8302,8302,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-484,-1824,1624,1778,222,222,56,56,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,26,26,28,28,0,0,28,-28,7,8,84,105,13,13,27,27,9170,9294,101,78,9170,9294,10422,10628,101,78,-138,-120,8,8,2,2,-59,59,0,0,2,2,0,0,254,254,0,0,4,2,0,0,7,8,0,0,0,0,0,0,2,1,1,1,5,5,81,84,0,0,0,0,0,0,0,0,-28,28,6,6,16,16,534,0,-49,-118,22,-11,0,0,14,7,14,7,0,0,0,0,0,0,15,16,1,0,0,0,0,0,0,0,-123,-107,-182,-188,0,0,48,48,0,0,84,105,-18,-23,2,2
7,e3,rnbqkb1r/ppp1pppp/5n2/8/2pP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,50,-50,0,0,6,6,288,288,288,288,5,7,2,0,0,0,0,0,7,7,78,-78,-135,135,64,64,128,128,11832,12782,2,2,1438,1438,0,0,22,20,46,44,31,10,11,11,7,8,5,5,10,8,0,0,0,1,0,0,2,3,14,16,0,0,1,1,0,0,10,8,12,14,5,5,50,51,8302,8302,7,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-484,-1890,1918,1778,222,222,56,56,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,27,27,28,28,0,0,-28,28,7,8,144,105,31,10,56,12,9170,9294,117,78,9170,9294,10422,10628,117,78,-148,-120,8,8,2,2,-59,59,0,0,2,2,0,0,254,254,0,0,5,2,0,0,7,9,0,0,0,0,0,0,2,0,1,1,5,5,90,84,0,0,0,0,0,0,0,0,-28,28,7,6,16,17,560,0,-34,-118,24,-11,0,0,88,0,82,0,0,0,0,0,0,0,15,16,1,0,0,0,0,0,0,0,-123,-107,-182,-188,0,0,48,47,0,0,144,105,-4,-23,0,0
8,e5,rnbqkb1r/ppp2ppp/5n2/4p3/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,-120,120,0,0,6,6,288,288,288,288,5,6,2,0,0,0,0,0,7,6,-148,148,-226,226,64,64,128,128,11832,12782,2,2,1438,1438,0,0,20,25,44,45,10,87,11,11,7,12,5,5,10,9,0,0,0,1,0,0,2,3,14,16,0,0,1,1,0,0,9,11,12,14,5,5,50,56,8302,8302,7,6,0,0,2,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-640,-1734,1918,2462,222,222,56,56,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,23,28,28,28,0,0,28,-28,7,8,144,91,10,87,34,103,9170,9294,117,102,9170,9294,10422,10628,117,102,-148,-147,8,8,2,2,-59,59,0,0,2,2,0,0,254,254,0,0,5,3,0,0,9,9,0,0,0,0,0,0,3,0,1,1,5,5,81,116,0,0,0,0,0,0,0,0,-28,28,7,9,18,17,454,497,-60,-34,17,20,0,0,169,48,157,39,0,0,0,0,0,0,15,16,1,0,0,0,0,0,0,0,-123,-107,-182,-188,0,0,48,47,0,0,144,91,-4,-20,0,0
9,Nxe5,rnbqkb1r/ppp2ppp/5n2/4N3/2pP4/4P3/PP3PPP/RNBQKB1R b KQkq - 0 5,305,-305,0,0,5,5,288,288,288,288,5,6,2,0,0,0,0,0,7,6,333,-333,184,-184,64,64,128,128,11398,11398,2,2,1438,1438,0,0,23,25,46,45,40,87,11,11,7,12,5,5,12,9,0,0,0,1,0,0,2,3,7,14,0,0,1,1,0,0,10,8,12,12,5,5,52,54,8302,8302,7,6,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-640,-1890,1918,2072,222,222,56,56,1,1,1,1,1,1,1,1,1,1,81,0,2,0,1,0,24,23,16,16,0,0,-28,28,7,7,152,91,40,87,71,103,9170,9170,162,62,9170,9170,10422,10422,162,62,-101,-134,10,8,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,3,0,0,9,9,0,1,1,0,0,0,7,6,1,1,5,5,90,72,0,0,0,0,0,0,0,0,16,-16,10,7,17,17,911,455,116,-60,45,17,0,0,144,102,160,60,0,0,0,0,0,0,15,15,1,0,0,0,0,0,0,0,-118,-101,-151,-174,0,0,48,47,0,0,152,91,-4,-20,0,0
10,b5,rnbqkb1r/p1p2ppp/5n2/1p2N3/2pP4/4P3/PP3PPP/RNBQKB1R w KQkq - 0 6,8,-8,0,0,5,5,288,288,288,288,5,3,2,1,0,0,0,0,7,4,-20,20,-90,90,64,64,128,128,11398,11398,2,2,1438,1438,0,0,21,27,46,46,-11,104,11,11,7,13,5,5,12,9,0,0,1,1,0,0,2,2,7,14,0,0,1,1,0,0,9,8,12,12,5,5,52,55,8302,8302,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1336,-1890,1918,2483,222,222,56,56,1,1,0,1,0,1,1,1,1,1,81,0,2,0,1,0,22,24,16,16,0,0,28,-28,7,7,152,121,-11,104,33,133,9170,9170,162,36,9170,9170,10422,10422,162,36,-101,-130,10,8,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,3,0,0,9,9,0,1,2,0,0,0,8,7,1,1,5,5,81,72,0,0,0,0,0,0,0,0,-16,16,10,8,18,17,0,529,-86,-34,-11,22,0,0,93,109,110,67,0,0,0,0,0,0,15,15,2,0,0,0,0,0,0,0,-122,-119,-156,-177,0,0,44,47,0,0,152,121,-4,30,0,0
